StockCode,Price
85048,6.95
79323P,6.75
79323W,6.75
22041,2.1
21232,1.25
22064,1.65
21871,1.25
21523,5.95
22350,2.55
22349,3.75
22195,1.65
22353,2.55
48173C,5.95
21755,5.45
21754,5.95
84879,1.69
22119,6.95
22142,1.45
22296,1.65
22295,1.65
22109,3.39
22107,3.75
22194,8.5
35004B,4.65
82582,2.1
21181,2.1
21756,5.95
21333,2.95
84596F,1.25
84596L,1.25
22111,4.25
22143,2.1
22145,2.1
22130,0.85
21364,6.75
21360,9.95
21351,6.75
21352,6.75
35400,8.95
20695,4.25
37370,1.25
10002,0.85
84507B,2.55
20703,4.25
21987,0.65
21989,0.85
84970S,0.85
20971,1.25
22271,2.95
22272,2.95
22274,2.95
21912,3.75
22111,4.95
22112,4.95
21329,0.98
21252,1.69
21100,1.15
21033,2.0
20711,1.3
21410,2.5
21411,2.5
84031A,3.0
84031B,3.0
84032A,1.9
84032B,1.9
84519A,2.15
84519B,2.4
85132A,6.38
85132C,6.4
85183A,2.4
85183B,2.4
22065,1.45
22138,4.95
22139,4.95
22352,2.55
85014A,5.95
85014B,5.95
16161P,0.42
16169N,0.42
21491,1.95
22333,1.65
85216,0.65
21493,0.85
21731,1.65
85232B,4.95
84691,0.85
20749,7.95
22321,0.72
22138,4.25
84029E,2.95
21955,6.75
84899E,1.25
85123A,2.95
21582,1.65
21586,2.55
21590,1.25
22091,1.25
84251J,0.42
22024,0.42
22026,0.42
22029,0.42
22025,0.42
22031,0.42
21428,4.25
21430,3.75
21916,0.42
21790,0.85
21888,3.75
85178,1.25
20754,2.1
21035,2.95
82001S,3.39
82580,0.55
85150,2.55
21041,2.95
35916C,0.85
35916B,0.85
22321,0.85
22180,9.95
22128,1.25
22163,2.95
35951,0.38
22253,1.25
84988,1.45
22219,0.85
18097C,2.55
21299,12.75
21099,0.65
21085,0.65
21929,1.95
22241,1.25
21091,0.85
21733,2.55
85123A,2.55
22178,1.25
22125,5.95
21671,1.25
22086,2.95
22294,1.25
22199,4.25
22083,2.95
22114,3.95
21485,4.95
21928,1.95
85099B,1.95
22356,0.85
20724,0.85
21592,1.25
20725,1.65
20728,1.65
20726,1.65
21217,8.95
85066,12.75
20827,2.12
20825,3.39
20823,4.25
20826,2.12
22087,2.95
85206A,1.65
21895,4.25
21896,2.1
84946,1.25
22090,2.95
21977,0.55
84991,0.55
22273,2.95
22179,6.75
22320,5.95
22232,1.65
84598,0.21
79323S,6.75
84568,0.21
21668,1.25
21669,1.25
21670,1.25
21672,1.25
21673,1.25
85071A,2.95
85071B,2.95
21161,1.45
21162,1.45
21248,1.45
21159,1.45
82494L,2.95
82486,7.95
82483,5.95
90200D,4.25
90200E,4.25
21212,0.55
72756,1.49
22063,2.95
37450,2.95
90200A,4.25
90200C,4.25
90200B,4.25
90185C,4.25
90185B,4.25
90003C,3.75
90003D,3.75
90003B,3.75
90209C,2.1
90209A,2.1
90082D,6.35
21707,4.95
21710,4.95
21708,4.95
21706,4.95
21711,4.95
20747,14.95
21733,2.95
20752,2.1
20753,2.1
20751,2.1
48185,6.75
21481,2.95
85042,4.25
72760B,9.95
84879,1.45
84031B,4.65
84032A,2.95
84032B,2.95
21482,2.95
21484,3.45
20967,3.75
20970,3.75
21100,1.65
84582,4.25
20972,1.25
84327A,2.1
21490,1.95
21063,0.85
21058,0.85
84997D,3.75
84997C,3.75
22301,2.55
22300,2.55
21231,1.25
20870,2.1
90121B,4.25
90175A,8.95
90195B,8.95
90062,12.75
21930,1.95
21472,3.75
48185,5.95
47566B,4.65
22275,8.5
21479,3.75
21791,1.06
84032A,2.55
71477,2.75
37449,8.5
37446,1.25
21955,5.95
21258,10.95
20892,3.95
47591D,1.65
21867,1.25
82551,1.25
82567,2.1
82613D,1.25
21179,1.25
21865,2.1
72783,2.1
20719,0.85
21869,1.25
21876,1.25
84849B,1.69
21864,2.1
21470,3.75
20897,2.95
44230,7.95
37485,4.65
84997A,3.75
21245,1.69
21241,0.85
21705,1.65
21913,3.75
16207A,2.95
21821,3.75
22319,0.65
21584,1.65
21791,1.25
21931,1.95
20711,1.95
47591A,1.65
84997B,3.75
22122,2.95
21252,2.95
21837,5.95
84951A,2.55
22335,0.65
85129A,1.25
84791,2.95
21244,1.69
20675,1.25
82616B,2.95
22276,2.55
84912B,3.75
85014C,5.95
85014D,5.95
21326,0.65
84949,1.65
21908,2.1
21371,2.55
85152,2.1
21133,1.69
20984,0.85
20982,0.85
84971L,1.25
90168,2.95
84884A,3.95
90013C,3.75
90023,4.25
90067A,2.95
90067B,2.95
90145,5.95
90000A,5.95
90024B,8.5
90036D,7.95
90134,2.95
90131,6.95
90199C,6.35
35751C,0.75
72739B,1.25
22212,2.1
21523,6.75
48187,6.75
48195,6.75
72741,1.45
85232D,4.95
20828,2.55
22080,1.65
22082,1.65
21784,9.95
21172,1.45
82600,2.1
22282,12.75
21842,2.55
22089,2.95
20734,0.85
35071,0.85
22121,5.95
84836,1.25
37492A,4.65
10133,0.85
22113,3.45
20782,5.49
22190,2.1
84029G,3.75
21489,3.95
20987,1.95
20989,1.95
21868,1.25
21875,1.25
21826,1.25
21827,1.25
21828,1.25
16225,1.25
21829,0.21
21638,2.1
22218,4.25
22222,4.95
22305,2.55
22304,2.55
22302,2.55
22303,2.55
22127,1.25
21143,1.95
21639,0.85
22154,0.42
22155,0.42
21889,1.25
85045,4.95
85044,4.95
21587,2.55
21588,2.55
21818,0.85
21819,0.85
21817,0.85
48111,6.75
20685,6.75
48194,6.75
21495,0.42
47505,4.95
10135,1.25
37492C,4.65
20677,1.25
20676,1.25
21086,0.65
21948,1.25
21833,1.69
21832,1.65
22315,1.25
21870,1.25
22115,2.95
21166,1.95
21175,2.1
21174,1.95
22197,0.85
21094,0.85
72724,1.25
22103,1.65
37424,0.85
21136,1.69
21755,5.95
21238,0.85
21240,0.85
21239,0.85
84007,2.55
84012,2.55
22077,1.65
85049A,1.25
85049E,1.25
22075,1.65
22076,1.65
79323LP,6.75
79342B,6.75
79341,6.75
21976,0.55
21498,0.42
84948,1.65
21537,4.25
20718,1.25
21539,4.95
16169F,0.42
21527,7.95
21533,4.95
21531,2.55
20914,2.95
21217,9.95
21242,1.69
21535,2.55
21844,2.95
22073,3.75
22072,3.75
15056BL,5.95
15056N,5.95
22254,1.25
22255,0.85
46000S,1.45
20964,2.55
21788,0.85
21789,0.85
20682,3.25
84832,0.85
85063,16.95
48129,6.75
22030,0.42
21081,0.85
20773,1.65
20767,2.55
22028,0.42
20622,2.1
21122,1.25
21124,1.25
20657,1.25
16156N,0.42
20673,1.25
84520B,0.85
20619,2.1
21866,1.25
20660,1.25
20777,1.65
20774,1.65
22037,0.42
22036,0.42
21726,0.85
21544,0.85
21004,4.25
84402D,2.95
84660B,3.75
21429,1.65
72754B,1.69
21500,0.42
21431,1.65
20748,12.75
72802B,4.25
79029,1.95
71477,3.25
85042,4.95
21591,1.25
